approach,capture_index,frame_sequence,timestamp_ns,state,source,confidence,box_norm,tracker_quality,note
yolo11n_detector,2,434,12525419365930,Tracked,detector,0.879998,"[0.23250751495361327,0.2048911412556966,0.5433562278747559,0.9894997278849283]",,identity-safe detector correction
yolo11n_detector,3,435,12525554171263,Tracked,detector,0.882951,"[0.23229212760925294,0.20196803410847983,0.5340567588806152,0.9895926157633463]",,identity-safe detector correction
yolo11n_detector,4,436,12525687352013,Tracked,detector,0.882588,"[0.23196778297424317,0.2013737360636393,0.5363770008087159,0.9896509170532226]",,identity-safe detector correction
yolo11n_detector,5,437,12525822375596,Tracked,detector,0.885418,"[0.2333906650543213,0.2026641845703125,0.5411064624786377,0.988925552368164]",,identity-safe detector correction
yolo11n_detector,6,438,12525956596972,Tracked,detector,0.883157,"[0.23252229690551757,0.2006631851196289,0.5423039436340332,0.9851037979125976]",,identity-safe detector correction
yolo11n_detector,7,440,12526228069638,Tracked,detector,0.908442,"[0.2529332637786865,0.15160287221272786,0.5298576354980469,0.9895421981811523]",,identity-safe detector correction
yolo11n_detector,8,441,12526355752222,Tracked,detector,0.901970,"[0.26535816192626954,0.13437817891438802,0.5292719841003418,0.9927716573079427]",,identity-safe detector correction
yolo11n_detector,9,442,12526523208722,Tracked,detector,0.906229,"[0.2778592348098755,0.1154393196105957,0.5328286170959473,0.9892923990885417]",,identity-safe detector correction
yolo11n_detector,10,443,12526661348389,Tracked,detector,0.903278,"[0.30741868019104,0.08445555369059245,0.5374550342559814,0.9866740544637044]",,identity-safe detector correction
yolo11n_detector,11,444,12526789218055,Tracked,detector,0.895586,"[0.3243190050125122,0.07711289723714193,0.5411063194274902,0.9884687423706054]",,identity-safe detector correction
yolo11n_detector,12,445,12526925578722,Tracked,detector,0.886539,"[0.3340289115905762,0.07087459564208984,0.5446060180664063,0.9916879653930664]",,identity-safe detector correction
yolo11n_detector,13,447,12527189398764,Tracked,detector,0.885798,"[0.35172486305236816,0.06458816528320313,0.5514415264129638,0.9909066518147787]",,identity-safe detector correction
yolo11n_detector,14,448,12527320513055,Tracked,detector,0.879212,"[0.35415961742401125,0.06547339757283528,0.552817440032959,0.9921414693196614]",,identity-safe detector correction
yolo11n_detector,15,449,12527522316806,Tracked,detector,0.880804,"[0.35344810485839845,0.06303173700968424,0.5523612022399902,0.9896774291992188]",,identity-safe detector correction
yolo11n_detector,16,450,12527658504931,Tracked,detector,0.877684,"[0.35628106594085696,0.06414066950480143,0.5550596237182617,0.99219970703125]",,identity-safe detector correction
yolo11n_detector,17,451,12527798973431,Tracked,detector,0.879552,"[0.35743026733398436,0.06385746002197265,0.5565811157226562,0.9887009302775065]",,identity-safe detector correction
yolo11n_detector,18,453,12528089910639,Tracked,detector,0.865625,"[0.36654372215270997,0.06176191965738932,0.565193510055542,0.9927586237589519]",,identity-safe detector correction
yolo11n_detector,19,454,12528228203848,Tracked,detector,0.850549,"[0.36932079792022704,0.05957390467325847,0.5750945091247559,0.9931877136230469]",,identity-safe detector correction
yolo11n_detector,20,455,12528357245806,Tracked,detector,0.862260,"[0.3749564170837402,0.06097497940063477,0.5828873634338378,0.9963884989420573]",,identity-safe detector correction
yolo11n_detector,21,456,12528521323931,Tracked,detector,0.865362,"[0.3759284019470215,0.06180775960286458,0.5841021537780762,0.998599624633789]",,identity-safe detector correction
yolo11n_detector,22,457,12528655547556,Tracked,detector,0.881693,"[0.39040000438690187,0.06111307144165039,0.6038615226745605,0.9951686859130859]",,identity-safe detector correction
yolo11n_detector,23,458,12528789712223,Tracked,detector,0.873199,"[0.3938919544219971,0.05911245346069336,0.610247278213501,0.9955530802408854]",,identity-safe detector correction
yolo11n_detector,24,459,12528921197515,Tracked,detector,0.874565,"[0.39771459102630613,0.05683326721191406,0.6124139785766601,0.9935846964518229]",,identity-safe detector correction
yolo11n_detector,25,460,12529055570306,Tracked,detector,0.869536,"[0.39763200283050537,0.054544893900553386,0.6091569900512696,0.9937854131062825]",,identity-safe detector correction
yolo11n_detector,26,461,12529189563223,Tracked,detector,0.869263,"[0.39849808216094973,0.054923057556152344,0.6071366310119629,0.9892558415730794]",,identity-safe detector correction
yolo11n_detector,27,462,12529321656056,Tracked,detector,0.867251,"[0.39789137840270994,0.0569734255472819,0.6017750263214111,0.9887503306070964]",,identity-safe detector correction
yolo11n_detector,28,463,12529497385807,Tracked,detector,0.872588,"[0.3960155963897705,0.05689573287963867,0.6007983684539795,0.9940382639567057]",,identity-safe detector correction
yolo11n_detector,29,464,12529652866515,Tracked,detector,0.873355,"[0.3881310701370239,0.05694561004638672,0.5917920112609864,0.9912847518920899]",,identity-safe detector correction
yolo11n_detector,30,465,12529788431265,Tracked,detector,0.877727,"[0.38460190296173097,0.05568854014078776,0.5888352394104004,0.9913607915242513]",,identity-safe detector correction
yolo11n_detector,31,467,12530053902307,Tracked,detector,0.868032,"[0.39143364429473876,0.05615994135538737,0.5876254081726074,0.9876041412353516]",,identity-safe detector correction
yolo11n_detector,32,468,12530186161265,Tracked,detector,0.871742,"[0.3861777067184448,0.05543327331542969,0.5880543708801269,0.9806751251220703]",,identity-safe detector correction
yolo11n_detector,33,469,12530322509515,Tracked,detector,0.876862,"[0.38447673320770265,0.05779530207316081,0.5881884574890137,0.9932509104410807]",,identity-safe detector correction
yolo11n_detector,34,470,12530452977140,Tracked,detector,0.875366,"[0.38843722343444825,0.0556918462117513,0.5893051624298096,0.984294064839681]",,identity-safe detector correction
yolo11n_detector,35,471,12530588443057,Tracked,detector,0.870635,"[0.39627087116241455,0.05606244405110677,0.5907073020935059,0.9927326202392578]",,identity-safe detector correction
yolo11n_detector,36,472,12530722004807,Tracked,detector,0.868754,"[0.3956611156463623,0.057132562001546226,0.5907872676849365,0.9879233042399088]",,identity-safe detector correction
yolo11n_detector,37,473,12530858062807,Tracked,detector,0.879725,"[0.3876465320587158,0.056209468841552736,0.5912739276885987,0.9891989390055339]",,identity-safe detector correction
yolo11n_detector,38,474,12530987213474,Tracked,detector,0.883151,"[0.38555796146392823,0.05596021016438802,0.5907196044921875,0.9914924621582031]",,identity-safe detector correction
yolo11n_detector,39,476,12531286294474,Tracked,detector,0.874149,"[0.3950899600982666,0.05674114227294922,0.5894325733184814,0.9923514684041341]",,identity-safe detector correction
yolo11n_detector,40,477,12531464862474,Tracked,detector,0.861209,"[0.3967155933380127,0.05558312733968099,0.5893929958343506,0.9910486221313477]",,identity-safe detector correction
yolo11n_detector,41,478,12531610996766,Tracked,detector,0.862368,"[0.39531726837158204,0.05732119878133138,0.5884309768676758,0.9956736246744792]",,identity-safe detector correction
yolo11n_detector,42,479,12531754464558,Tracked,detector,0.869292,"[0.38935103416442873,0.05745236078898112,0.585441255569458,0.9977625528971354]",,identity-safe detector correction
yolo11n_detector,43,480,12531888719724,Tracked,detector,0.855785,"[0.38479247093200686,0.05943304697672526,0.5805107593536377,1.0]",,identity-safe detector correction
yolo11n_detector,44,481,12532052668058,Tracked,detector,0.859823,"[0.3736286640167236,0.06161775588989258,0.5711818218231202,0.9968249003092448]",,identity-safe detector correction
yolo11n_detector,45,482,12532189847433,Tracked,detector,0.881123,"[0.35443112850189207,0.06518001556396484,0.5529964447021485,0.9914215723673503]",,identity-safe detector correction
yolo11n_detector,46,483,12532402721475,Tracked,detector,0.860424,"[0.339862060546875,0.06707639694213867,0.5365059852600098,0.9801853179931641]",,identity-safe detector correction
yolo11n_detector,47,484,12532554977225,Tracked,detector,0.877506,"[0.30996007919311525,0.07697547276814778,0.5191967964172364,0.9894607543945313]",,identity-safe detector correction
yolo11n_detector,48,485,12532688432308,Tracked,detector,0.875372,"[0.30181546211242677,0.07703034083048503,0.5147462368011475,0.9852526346842448]",,identity-safe detector correction
yolo11n_detector,49,486,12532863942891,Tracked,detector,0.883853,"[0.2998325347900391,0.07795874277750652,0.5147237777709961,0.9850914637247722]",,identity-safe detector correction
yolo11n_detector,50,487,12532989625517,Tracked,detector,0.890684,"[0.30042479038238523,0.0762664794921875,0.5181766510009765,0.9864444732666016]",,identity-safe detector correction
yolo11n_detector,51,488,12533124220975,Tracked,detector,0.877797,"[0.30751810073852537,0.07553987503051758,0.5339752197265625,0.9874465942382813]",,identity-safe detector correction
yolo11n_detector,52,490,12533424401308,Tracked,detector,0.850779,"[0.35871248245239257,0.06971298853556315,0.5714451789855957,0.9856643676757812]",,identity-safe detector correction
yolo11n_detector,53,491,12533561324017,Tracked,detector,0.860153,"[0.375977611541748,0.07034079233805339,0.5835777282714844,0.9894008000691732]",,identity-safe detector correction
yolo11n_detector,54,493,12533825746934,Tracked,detector,0.871829,"[0.4217997550964355,0.05987339019775391,0.6466279029846191,0.9364171346028646]",,identity-safe detector correction
yolo11n_detector,55,494,12533956733184,Tracked,detector,0.862592,"[0.4362794876098633,0.05741119384765625,0.6725666046142578,0.9382705688476562]",,identity-safe detector correction
yolo11n_detector,56,495,12534089324309,Tracked,detector,0.881152,"[0.42727174758911135,0.055808003743489584,0.6754951477050781,0.9918243408203125]",,identity-safe detector correction
yolo11n_detector,57,496,12534230096434,Tracked,detector,0.896060,"[0.43338470458984374,0.05363413492838542,0.6670875549316406,0.9927747090657552]",,identity-safe detector correction
yolo11n_detector,58,497,12534421573101,Tracked,detector,0.897420,"[0.4349249839782715,0.05399055480957031,0.6664732933044434,0.9930854797363281]",,identity-safe detector correction
yolo11n_detector,59,499,12534691036059,Tracked,detector,0.895146,"[0.42979040145874026,0.055601247151692706,0.6664013862609863,0.9917278289794922]",,identity-safe detector correction
yolo11n_detector,60,501,12534954324059,Tracked,detector,0.882905,"[0.43133392333984377,0.053904088338216145,0.6570761680603028,0.9588564554850261]",,identity-safe detector correction
yolo11n_detector,61,502,12535098349476,Tracked,detector,0.851799,"[0.42510223388671875,0.05573755900065104,0.6432737350463867,0.9302876790364584]",,identity-safe detector correction
yolo11n_detector,62,503,12535258796559,Tracked,detector,0.859084,"[0.3978869915008545,0.06299918492635091,0.6198795795440674,0.9673954010009765]",,identity-safe detector correction
yolo11n_detector,63,504,12535479391059,Tracked,detector,0.857786,"[0.3758340358734131,0.0731466293334961,0.5913811206817627,0.9848037083943685]",,identity-safe detector correction
yolo11n_detector,64,505,12535625805893,Tracked,detector,0.882698,"[0.30117461681365965,0.10017274220784506,0.5802161216735839,0.9880539576212565]",,identity-safe detector correction
