video,canonical_index,timestamp_s,target_visible,state,reasons,confidence,peak_margin,template_similarity,center_step,frame_scale,original_scale,aspect_change,eligible_detections,matching_detections,detector_misses,raw_sot_box,matched_detector_box,output_box
courtyard_competitor,274,54.816966,True,Missing,"[""competitor overlap uncertainty""]",0.999689,0.606329,0.829384,0.009795,1.068224,1.690097,1.381871,2,1,0,"{""x1"": 612.1903128360564, ""y1"": 18.55745285751459, ""x2"": 755.8832032993337, ""y2"": 457.5825125212889}","{""x1"": 620.3514404296875, ""y1"": 32.60687255859375, ""x2"": 751.5882568359375, ""y2"": 438.50372314453125}",null
courtyard_competitor,275,54.979991,True,Missing,"[""ambiguous SOT response"", ""competitor overlap uncertainty""]",0.998717,0.01856,0.821667,0.004648,1.048046,1.612617,1.386312,2,2,0,"{""x1"": 606.9851443724708, ""y1"": 24.954149986345982, ""x2"": 747.5710752912835, ""y2"": 453.1103318309588}","{""x1"": 621.88134765625, ""y1"": 32.8680419921875, ""x2"": 750.767822265625, ""y2"": 437.79254150390625}",null
courtyard_competitor,276,55.183771,True,Tracked,[],0.999671,0.708509,0.844491,0.007988,1.062977,1.517075,1.337544,2,1,0,"{""x1"": 621.6332807948626, ""y1"": 24.575673699693738, ""x2"": 755.571129448363, ""y2"": 447.35788002248944}","{""x1"": 626.0755615234375, ""y1"": 30.617568969726562, ""x2"": 751.8101806640625, ""y2"": 438.85302734375}","{""x1"": 621.6332807948626, ""y1"": 24.575673699693738, ""x2"": 755.571129448363, ""y2"": 447.35788002248944}"
courtyard_competitor,277,55.387552,True,Tracked,[],0.999699,0.718104,0.853249,0.00303,1.042893,1.454679,1.341346,2,1,0,"{""x1"": 618.485483456509, ""y1"": 29.08832567760396, ""x2"": 749.8262939711058, ""y2"": 442.49778299022387}","{""x1"": 624.81396484375, ""y1"": 32.875335693359375, ""x2"": 749.2127685546875, ""y2"": 435.2713317871094}","{""x1"": 618.485483456509, ""y1"": 29.08832567760396, ""x2"": 749.8262939711058, ""y2"": 442.49778299022387}"
courtyard_competitor,278,55.591332,True,Missing,"[""competitor overlap uncertainty""]",0.999711,0.747278,0.882808,0.003894,1.048949,1.386797,1.308361,2,2,0,"{""x1"": 623.3609130485688, ""y1"": 26.313518292224387, ""x2"": 750.0140487619342, ""y2"": 435.01828199982987}","{""x1"": 610.5178833007812, ""y1"": 33.01353454589844, ""x2"": 747.5424194335938, ""y2"": 434.5108642578125}",null
courtyard_competitor,279,55.795113,True,Missing,"[""competitor overlap uncertainty""]",0.999669,0.729859,0.893291,0.001475,1.053979,1.315772,1.24692,2,2,0,"{""x1"": 627.8503886280403, ""y1"": 25.100225655242753, ""x2"": 748.286091340525, ""y2"": 432.8918251238201}","{""x1"": 624.3441772460938, ""y1"": 32.56219482421875, ""x2"": 745.2173461914062, ""y2"": 430.16986083984375}",null
courtyard_competitor,280,55.998893,True,Missing,"[""competitor overlap uncertainty""]",0.999706,0.764927,0.899921,0.005115,1.004086,1.321148,1.281447,2,2,0,"{""x1"": 619.9253076637714, ""y1"": 30.248946746496188, ""x2"": 742.2662594425323, ""y2"": 433.33011708315115}","{""x1"": 622.4171142578125, ""y1"": 33.07182312011719, ""x2"": 744.9058837890625, ""y2"": 433.06903076171875}",null
courtyard_competitor,281,56.202674,True,Lost,"[""competitor overlap uncertainty""]",0.999788,0.775894,0.947587,0.004499,1.022509,1.350885,1.337399,2,2,0,"{""x1"": 612.423579749842, ""y1"": 28.611925527156444, ""x2"": 738.8056222403252, ""y2"": 427.58719964717807}","{""x1"": 615.1302490234375, ""y1"": 32.7159423828125, ""x2"": 744.1702880859375, ""y2"": 429.7530517578125}",null
courtyard_competitor,282,56.406455,,Lost,"[""Lost latched; explicit reselection required""]",,,,,,,,,,,"{""x1"": 612.524199801545, ""y1"": 21.472237002266354, ""x2"": 740.4107215987445, ""y2"": 422.37342584458645}",null,null
courtyard_competitor,283,56.610235,,Lost,"[""Lost latched; explicit reselection required""]",,,,,,,,,,,"{""x1"": 623.4506179324342, ""y1"": 24.473503185548026, ""x2"": 747.0632062975633, ""y2"": 424.0203050680948}",null,null
